environment_id,simplified_edge_id,u,v,network_length,straight_distance,circuity,source_fragment_count,source_shape_provenance
38,env38_simplified_edge_00038,env38_topology_location_0064,env38_topology_location_0087,55.63442245419875,55.593852002167694,1.0007297650831872,2,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00039,env38_topology_location_0066,env38_topology_location_0080,50.0992472971117,49.90036109018024,1.0039856666883038,1,"[""env38_shape_4330855546755831596""]"
38,env38_simplified_edge_00040,env38_topology_location_0073,env38_topology_location_0076,40.82202041714578,39.5726602753799,1.0315712952597014,2,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00041,env38_topology_location_0073,env38_topology_location_0075,49.600372650826465,49.24177269136633,1.007282433995781,2,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00042,env38_topology_location_0073,env38_topology_location_0109,86.16721543859738,84.4631668865186,1.0201750492539343,2,"[""env38_shape_4330855546755831596"",""env38_shape_4330855546755831596""]"
38,env38_simplified_edge_00043,env38_topology_location_0076,env38_topology_location_0087,47.76836794585611,46.11577894082166,1.0358356519827008,2,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00044,env38_topology_location_0076,env38_topology_location_0108,72.17641466878302,71.6901585142663,1.0067827462596552,2,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00045,env38_topology_location_0080,env38_topology_location_0085,143.08409062211604,142.85852022884964,1.001578977528992,2,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00046,env38_topology_location_0080,env38_topology_location_0084,75.51091709251168,75.4950721995693,1.0002098798303085,2,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00047,env38_topology_location_0080,env38_topology_location_0112,83.41214396918215,81.62687439343601,1.0218711005292358,2,"[""env38_shape_4330855546755831596"",""env38_shape_4330855546755831596""]"
38,env38_simplified_edge_00048,env38_topology_location_0084,env38_topology_location_0087,36.78972735479909,36.78972735468345,1.0000000000031433,1,"[""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00049,env38_topology_location_0084,env38_topology_location_0106,62.9952967548427,61.07842222702535,1.0313838252188707,4,"[""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337""]"
38,env38_simplified_edge_00050,env38_topology_location_0085,env38_topology_location_0090,36.99638060703486,36.99614711615191,1.0000063112216042,2,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00051,env38_topology_location_0085,env38_topology_location_0111,90.35246281158291,78.89128527066593,1.1452781191432633,4,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00052,env38_topology_location_0087,env38_topology_location_0103,56.78516335219466,54.58791626318196,1.0402515288991656,3,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00053,env38_topology_location_0090,env38_topology_location_0092,38.783235697277206,38.7832356973003,0.9999999999994046,1,"[""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00054,env38_topology_location_0090,env38_topology_location_0121,82.75906052733909,82.75906052733909,1.0,1,"[""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00055,env38_topology_location_0091,env38_topology_location_0092,60.0430577435329,59.98309379104935,1.0009996808882922,2,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
